org_type,role,aware_paymentworks,paymentworks_actions,paymentworks_difficulties,paymentworks_support_source,aware_transcepta,invoice_submission_method,transcepta_interactions,transcepta_difficulties,transcepta_support_source,ipps_resources_aware,ipps_difficulties,po_clarity_rating,aware_po_nonpayment
Non-Profit Organization,Accounts receivable,Yes,"Finding guidance on PaymentWorks actions,Supplier Registration,Updating Remittance Details","Finding guidance on PaymentWorks actions,Updating Remittance Details,Viewing Payment Status",I am unsure who to contact,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta",None of the Above,"Other (please specify):,Accounts Payable (payables@ucsd.edu)",Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,N/A – I do not have access to/do not receive Purchase Orders,Yes
Sole Proprietor / Individual,Administrative support,Yes,Viewing Payment Status,None of the above,PaymentWorks' Payee Knowledge Base,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,5 – Extremely Clear,No
Large Business,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Web Portal (PO flip and manual creation),None of the Above,Receiving notifications about invoice errors/rejections,"The person ordering the goods or services,Transcepta Support",Other (Please specify):,I have never utilized these resources or support,1 – Extremely Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,Other (Please specify):,3 – Neutral,Yes
Sole Proprietor / Individual,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.",Finding guidance on Transcepta actions.,"Transcepta Portal and Knowledge Base,Other (please specify):",I am not aware of any of these resources,I have not experienced any difficulties,5 – Extremely Clear,No
Sole Proprietor / Individual,Other:,Yes,Updating Remittance Details,"Updating Remittance Details,Viewing Payment Status",Procurement (pohelp@ucsd.edu),Yes,Other:,"Receiving notifications about invoice errors/rejections,Registering for Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,Other (Please specify):,5 – Extremely Clear,Yes
Sole Proprietor / Individual,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,2 – Somewhat Unclear,Yes
Large Business,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Email,"N/A, I've never heard of Transcepta","Viewing invoice submission status.,Receiving notifications about invoice errors/rejections",The person ordering the goods or services,Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,,,,,,,,,,,,,
Non-Profit Organization,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,Other (Please specify):,5 – Extremely Clear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,Yes,"Supplier Registration,Updating Remittance Details","N/A, I've never heard of PaymentWorks",The person ordering the goods or services,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Newsletter,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,Yes
Non-Profit Organization,Administrative support,Yes,Updating Remittance Details,"Contacting PaymentWorks,Updating Remittance Details",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Electronic Data Interchange (EDI),"Finding guidance on Transcepta actions.,Viewing invoice submission status.","Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.",Other (please specify):,Other (Please specify):,Other (Please specify):,1 – Extremely Unclear,Yes
Small Business (per SBA standards),Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Email,"N/A, I've never heard of Transcepta","Viewing invoice submission status.,Registering for Transcepta","Other (please specify):,Transcepta Support",I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,Yes
Other (please specify):,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Registering for Transcepta",Registering for Transcepta,"Transcepta Support,Other (please specify):",Other (Please specify):,I have not experienced any difficulties,5 – Extremely Clear,No
Other (please specify):,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Newsletter,I have never utilized these resources or support,4 – Somewhat Clear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Web Portal (PO flip and manual creation),"Registering for Transcepta,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections,Viewing invoice submission status.","Finding guidance on Transcepta actions.,Viewing invoice submission status.","I am unsure who to contact,Other (please specify):",Other (Please specify):,Other (Please specify):,5 – Extremely Clear,Yes
Small Business (per SBA standards),Executive-level leadership,Yes,"Viewing Payment Status,Updating Company Information","N/A, I've never heard of PaymentWorks","PaymentWorks Support,The person ordering the goods or services",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,I have never utilized these resources or support,4 – Somewhat Clear,No
Non-Profit Organization,Other:,Yes,"Updating Remittance Details,Finding guidance on PaymentWorks actions","N/A, I've never heard of PaymentWorks","Other (please specify):,The person ordering the goods or services",,,,,,,,,
Small Business (per SBA standards),Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Electronic Data Interchange (EDI),"Finding guidance on Transcepta actions.,Registering for Transcepta,Viewing invoice submission status.,Receiving notifications about invoice errors/rejections","Registering for Transcepta,Finding guidance on Transcepta actions.",The person ordering the goods or services,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,4 – Somewhat Clear,Yes
Other (please specify):,Sales,Yes,"Contacting PaymentWorks,Viewing Payment Status,Finding guidance on PaymentWorks actions","Contacting PaymentWorks,Updating Remittance Details,Viewing Payment Status",Procurement (pohelp@ucsd.edu),Yes,Transcepta - Electronic Data Interchange (EDI),None of the Above,"N/A, I've never heard of Transcepta","Accounts Payable (payables@ucsd.edu),Transcepta Support",Payee Newsletter,I have not experienced any difficulties,5 – Extremely Clear,No
Large Business,Executive-level leadership,Yes,Updating Remittance Details,"Updating Company Information,Supplier Registration,Contacting PaymentWorks","Other (please specify):,Accounts Payable (payables@ucsd.edu)",Yes,Other:,"Viewing invoice submission status.,Receiving notifications about invoice errors/rejections,Registering for Transcepta","Finding guidance on Transcepta actions.,Registering for Transcepta",Other (please specify):,I am not aware of any of these resources,I have not experienced any difficulties,1 – Extremely Unclear,Yes
Large Business,Administrative support,Yes,"Contacting PaymentWorks,Viewing Payment Status,Finding guidance on PaymentWorks actions",Updating Company Information,"Other (please specify):,PaymentWorks Support",Yes,Transcepta - Email,"Finding guidance on Transcepta actions.,Registering for Transcepta,Receiving notifications about invoice errors/rejections,Viewing invoice submission status.","Viewing invoice submission status.,Registering for Transcepta,Finding guidance on Transcepta actions.","Accounts Payable (payables@ucsd.edu),I am unsure who to contact",Payee Newsletter,I have never utilized these resources or support,1 – Extremely Unclear,No
Non-Profit Organization,Sales,,,,,,,,,,,,,
Sole Proprietor / Individual,Sales,Yes,"Supplier Registration,Viewing Payment Status,Contacting PaymentWorks,Updating Remittance Details","N/A, I've never heard of PaymentWorks","The person ordering the goods or services,I am unsure who to contact",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,5 – Extremely Clear,No
Large Business,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Other:,"Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Viewing invoice submission status.,Registering for Transcepta",Registering for Transcepta,"I am unsure who to contact,Other (please specify):",Payee Newsletter,Other (Please specify):,4 – Somewhat Clear,Yes
Sole Proprietor / Individual,Executive-level leadership,Yes,Finding guidance on PaymentWorks actions,Updating Remittance Details,I am unsure who to contact,Yes,Transcepta - Electronic Data Interchange (EDI),"Receiving notifications about invoice errors/rejections,Registering for Transcepta,Finding guidance on Transcepta actions.",Finding guidance on Transcepta actions.,The person ordering the goods or services,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,Yes,"Finding guidance on PaymentWorks actions,Updating Company Information,Supplier Registration,Contacting PaymentWorks",Updating Remittance Details,I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Onboarding Guide,I have not experienced any difficulties,5 – Extremely Clear,No
Non-Profit Organization,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,No
